RuleID,RuleName,Condition,Description
1,Potential Front-Running,"(Trader_Type='Employee') AND (DateDiff <=1) AND (Security=ClientSecurity) AND (Volume >= ClientVolume)","Flags possible front-running if an employee trade is made the same or next day as a client’s, in the same security, with equal or greater volume."
2,Potential MNPI: Large Volume,"(Trader_Type='Employee') AND (Volume>2*AvgVolume) AND (Public_News='No')","Flags potential misuse of MNPI if employee's trade volume is >2x the average without any public news."
3,Potential MNPI: Earnings,"(Trader_Type='Employee') AND (EarningsDay='Yes') AND (Volume>1000)","Flags if an employee trades unusually large volumes on the same day earnings are announced."
4,Market Manipulation: Spoofing,"(OrderType='Limit') AND (CancelRate>80%)","Flags traders who place large limit orders and cancel most of them to influence prices (spoofing)."
5,Market Manipulation: Wash Trades,"(Trader_Type='Employee') AND (Buyer=Seller) AND (Volume>0)","Flags if the same entity is effectively on both sides of the trade (wash trading)."
6,GIPS Compliance: Benchmark Mismatch,"(ClientPortfolioReturn>BenchmarkReturn+10%) AND (DisclosedBenchmark='S&P500') AND (ActualBenchmark='Custom')","Flags if performance is significantly outpacing the disclosed benchmark due to a hidden mismatch."
7,Suitability: High Risk for Conservative,"(RiskProfile='Conservative') AND (SecurityType IN ['HighYieldBond','Derivative'])","Flags if conservative clients are placed in high-risk securities that may violate suitability."
8,Duty of Loyalty: Employee vs. Client,"(Trader_Type='Employee') AND (PersonalTradeDate=ClientTradeDate) AND (PersonalTradeSize>ClientTradeSize)","Flags if an employee's personal trade volume overshadows a client's on the same date."
9,Unauthorized Trading,"(Authorization='None') AND (Trader_Type='Employee')","Flags if an employee places trades without explicit client authorization."
10,Trade Allocation Fairness,"(BulkTradeAllocatedUnevenly='Yes') AND (MultipleClientsInvolved='Yes')","Flags if block trades are allocated unfairly among multiple clients."
11,Best Execution Issue,"(ExecutionPrice>MarketPrice*1.5) AND (Trader_Type='Client')","Flags if a client’s execution price is 50% worse than the current market price (possible best-execution violation)."
12,Pump and Dump,"(Trader_Type='Employee') AND (SecurityPromoted='Yes') AND (SubsequentSellOff='Yes')","Flags a scenario where the employee hypes a security, then quickly sells (pump-and-dump)."
13,Painting the Tape,"(TradeTime>15:55) AND (PriceMove>5%) AND (Trader_Type='Employee')","Flags unusual upward or downward price moves in the final minutes of trading, possibly to manipulate closing prices."
14,Cross Trades Conflict,"(ClientA=ClientB) AND (Price<>MarketPrice)","Flags cross trades between two accounts at off-market prices."
15,Performance Presentation Manipulation,"(ReportedReturn>ActualReturn*1.2)","Flags if reported performance is inflated more than 20% above actual results."
16,Conflicts of Interest: Family Accounts,"(Trader_Type='Employee') AND (Family_Account='Yes') AND (TradesBeforeClient='Yes')","Flags if an employee prioritizes family accounts ahead of clients."
17,Insider Info: M&A Rumors,"(Trader_Type='Employee') AND (Security=M&A_Target) AND (Public_News='No')","Flags if employee trades a rumored M&A target before any public announcement."
18,Soft Dollar Misuse,"(Trader_Type='Employee') AND (CommissionRate>StandardRate+20%) AND (SoftDollarBenefit='Personal')","Flags personal use of soft dollars or excessive commissions for personal gain."
19,Shorting Ahead of Positive Report,"(Trader_Type='Employee') AND (ResearchReportPositive='Yes') AND (TradeType='Short') AND (TradeDate<ReportReleaseDate)","Flags if employee shorts a security just before a bullish research report is published."
20,Employee Code Violation: Restricted List,"(Trader_Type='Employee') AND (Security IN Restricted_List)","Flags if an employee trades a security on the firm's restricted list."
21,Client Instructions Violation,"(Trader_Type='Employee') AND (TradeExecuted='Yes') AND (ClientSaid='No')","Flags if an employee executes a trade against explicit client instructions."
22,Excessive Trading (Churning),"(ClientAccount='FeeBased') AND (Turnover>MonthlyThreshold*2)","Flags if trading activity is excessively high in a fee-based account, suggesting churning."
23,Market Timing in Mutual Funds,"(Trader_Type='Client') AND (In/OutActivity>5 TimesPerMonth)","Flags rapid in-and-out trading in mutual funds that could be considered market timing."
24,Proxy Voting Breach,"(ProxyVoteNotCast='Yes') AND (ClientDirective='Vote')","Flags if a manager fails to vote proxies in line with client directives."
25,Margin Use Not Authorized,"(Trader_Type='Employee') AND (MarginUsed='Yes') AND (ClientAgreement='CashAccount')","Flags if margin is used in a client account that is supposed to be cash-only."
26,Outside Business Activity Not Disclosed,"(Trader_Type='Employee') AND (OutsideBusiness='Yes') AND (EmployerNotInformed='Yes')","Flags if an employee has undisclosed outside business activities."
27,Referral Fees Not Disclosed,"(ReferralFeeReceived='Yes') AND (ClientNotInformed='Yes')","Flags if referral fees are not properly disclosed to clients."
28,Two-Tier Pricing,"(DifferentPricesForSameSecurity='Yes') AND (ClientProfiles='Similar')","Flags if similar clients receive different prices for the same security without justification."
29,Use of Contingent Commissions,"(Trader_Type='Employee') AND (CommissionOnlyPaidIfOutcome='Yes')","Flags contingent commission arrangements that create conflicts of interest."
30,Front-Running Research Upgrades,"(Trader_Type='Employee') AND (InternalResearchUpgrade='Yes') AND (TradeDate<UpgradeReleaseDate)","Flags if employee trades a security just before an internal research upgrade is released."
